county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population_2019,date_updated
Barbour County,1005,Alabama,"24,686",162,"Houston (Dothan), AL - Dale, AL","277,857",1/19/2023
Chilton County,1021,Alabama,"44,428",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724",1/19/2023
Choctaw County,1023,Alabama,"12,589",412,"Lauderdale, MS - Neshoba, MS","174,560",1/19/2023
Clay County,1027,Alabama,"13,235",241,"Talladega, AL - Clay, AL","103,876",1/19/2023
Cleburne County,1029,Alabama,"14,910",177,"Calhoun (Anniston), AL - Carroll, GA","278,299",1/19/2023
Colbert County,1033,Alabama,"55,241",219,"Lauderdale (Florence), AL - Colbert, AL","202,961",1/19/2023
Henry County,1067,Alabama,"17,205",162,"Houston (Dothan), AL - Dale, AL","277,857",1/19/2023
Jefferson County,1073,Alabama,"658,573",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724",1/19/2023
Lauderdale County,1077,Alabama,"92,729",219,"Lauderdale (Florence), AL - Colbert, AL","202,961",1/19/2023
Lee County,1081,Alabama,"164,542",179,"Lee (Auburn), AL - Elmore, AL","304,186",1/19/2023
Limestone County,1083,Alabama,"98,915",210,"Madison (Huntsville), AL - Limestone, AL","557,816",1/19/2023
Marengo County,1091,Alabama,"18,863",175,"Dallas, AL - Marengo, AL","75,355",1/19/2023
Monroe County,1099,Alabama,"20,733",161,"Mobile (Mobile), AL - Baldwin, AL","697,125",1/19/2023
Montgomery County,1101,Alabama,"226,486",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117",1/19/2023
Randolph County,1111,Alabama,"22,722",172,"Coweta, GA - Troup (La Grange), GA","307,497",1/19/2023
Shelby County,1117,Alabama,"217,702",150,"Jefferson (Birmingham), AL - Shelby, AL","1,237,724",1/19/2023
Bethel CA,2050,Alaska,"18,386",820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",1/19/2023
Bristol Bay Borough,2060,Alaska,836,820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",1/19/2023
Dillingham CA,2070,Alaska,"4,916",820,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK","547,697",1/19/2023
Fairbanks North Star Borough,2090,Alaska,"96,849",819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK","111,069",1/19/2023
Sitka Cty&Bor,2220,Alaska,"8,493",818,"Juneau City and Borough, AK - Sitka City and Borough, AK","46,907",1/19/2023
Yukon-Koyukuk CA,2290,Alaska,"5,230",819,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK","111,069",1/19/2023
Apache County,4001,Arizona,"71,887",765,"McKinley, NM - Apache, AZ","143,254",1/19/2023
Maricopa County,4013,Arizona,"4,485,414",699,"Maricopa (Phoenix), AZ - Pinal, AZ","5,380,796",1/19/2023
Benton County,5007,Arkansas,"279,141",446,"Washington (Fayetteville), AR - Benton, AR","577,913",1/19/2023
Clay County,5021,Arkansas,"14,551",571,"Craighead, AR - Greene, AR","257,231",1/19/2023
Columbia County,5027,Arkansas,"23,457",486,"Union, AR - Columbia, AR","67,328",1/19/2023
Crawford County,5033,Arkansas,"63,257",421,"Sebastian (Fort Smith), AR - Crawford, AR","344,595",1/19/2023
Faulkner County,5045,Arkansas,"126,007",432,"Pulaski (Little Rock), AR - Faulkner, AR","787,837",1/19/2023
Fulton County,5049,Arkansas,"12,477",574,"Howell, MO - Independence, AR","152,691",1/19/2023
Grant County,5053,Arkansas,"18,265",432,"Pulaski (Little Rock), AR - Faulkner, AR","787,837",1/19/2023
Independence County,5063,Arkansas,"37,825",574,"Howell, MO - Independence, AR","152,691",1/19/2023
Izard County,5065,Arkansas,"13,629",574,"Howell, MO - Independence, AR","152,691",1/19/2023
Lincoln County,5079,Arkansas,"13,024",473,"Jefferson (Pine Bluff), AR - Drew, AR","128,147",1/19/2023
Newton County,5101,Arkansas,"7,753",494,"Boone, AR - Carroll, AR","81,446",1/19/2023
Phillips County,5107,Arkansas,"17,782",537,"Phillips, AR","17,782",1/19/2023
Polk County,5113,Arkansas,"19,964",534,"Polk, AR","19,964",1/19/2023
Prairie County,5117,Arkansas,"8,062",432,"Pulaski (Little Rock), AR - Faulkner, AR","787,837",1/19/2023
Pulaski County,5119,Arkansas,"391,911",432,"Pulaski (Little Rock), AR - Faulkner, AR","787,837",1/19/2023
Randolph County,5121,Arkansas,"17,958",571,"Craighead, AR - Greene, AR","257,231",1/19/2023
St. Francis County,5123,Arkansas,"24,994",499,"Crittenden (West Memphis), AR - St. Francis, AR","98,225",1/19/2023
Searcy County,5129,Arkansas,"7,881",494,"Boone, AR - Carroll, AR","81,446",1/19/2023
Union County,5139,Arkansas,"38,682",486,"Union, AR - Columbia, AR","67,328",1/19/2023
Amador County,6005,California,"39,752",750,"San Joaquin (Stockton), CA - Calaveras, CA","847,805",1/19/2023
Contra Costa County,6013,California,"1,153,526",766,"Alameda (Oakland), CA - Contra Costa, CA","2,824,855",1/19/2023
Kings County,6031,California,"152,940",718,"Fresno (Fresno), CA - Kings, CA","1,309,368",1/19/2023
Lassen County,6035,California,"30,573",780,"Lassen, CA - Plumas, CA","49,380",1/19/2023
Mendocino County,6045,California,"86,749",811,"Mendocino, CA","86,749",1/19/2023
Nevada County,6057,California,"99,755",753,"Nevada, CA - Sierra, CA","102,760",1/19/2023
Plumas County,6063,California,"18,807",780,"Lassen, CA - Plumas, CA","49,380",1/19/2023
Riverside County,6065,California,"2,470,546",768,"San Bernardino, CA - Riverside (Riverside), CA","4,650,631",1/19/2023
San Benito County,6069,California,"62,808",751,"Santa Clara (San Jose), CA - Monterey, CA","2,424,721",1/19/2023
San Luis Obispo County,6079,California,"283,111",781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA","729,610",1/19/2023
Santa Barbara County,6083,California,"446,499",781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA","729,610",1/19/2023
Santa Clara County,6085,California,"1,927,852",751,"Santa Clara (San Jose), CA - Monterey, CA","2,424,721",1/19/2023
Siskiyou County,6093,California,"43,539",752,"Jackson (Medford), OR - Josephine, OR","351,970",1/19/2023
Stanislaus County,6099,California,"550,660",737,"Stanislaus (Modesto), CA - Merced, CA","900,021",1/19/2023
Tuolumne County,6109,California,"54,478",737,"Stanislaus (Modesto), CA - Merced, CA","900,021",1/19/2023
Ventura County,6111,California,"846,006",790,"Ventura, CA","846,006",1/19/2023
Adams County,8001,Colorado,"517,421",688,"Denver (Denver), CO - Jefferson, CO","2,943,519",1/19/2023
Alamosa County,8003,Colorado,"16,233",731,"Alamosa, CO - Rio Grande, CO","47,185",1/19/2023
Archuleta County,8007,Colorado,"14,029",740,"San Juan, NM - Navajo, AZ","349,406",1/19/2023
Baca County,8009,Colorado,"3,581",562,"Grant, KS - Baca, CO","12,737",1/19/2023
Broomfield County,8014,Colorado,"70,465",795,"Boulder, CO - Broomfield, CO","396,661",1/19/2023
Cheyenne County,8017,Colorado,"1,831",754,"El Paso (Colorado Springs), CO - Teller, CO","760,420",1/19/2023
Conejos County,8021,Colorado,"8,205",731,"Alamosa, CO - Rio Grande, CO","47,185",1/19/2023
Costilla County,8023,Colorado,"3,887",731,"Alamosa, CO - Rio Grande, CO","47,185",1/19/2023
Custer County,8027,Colorado,"5,068",812,"Fremont, CO - Custer, CO","52,907",1/19/2023
Douglas County,8035,Colorado,"351,154",688,"Denver (Denver), CO - Jefferson, CO","2,943,519",1/19/2023
Fremont County,8043,Colorado,"47,839",812,"Fremont, CO - Custer, CO","52,907",1/19/2023
