county,state,fips_code,Data_start_date,Data_end_date,SUM_of_previous_day_admission_adult_covid_confirmed,SUM_of_previous_day_admission_pediatric_covid_confirmed
Shelby,AL,01117,2023-05-28,2023-06-03,1,0
Covington,AL,01039,2023-05-28,2023-06-03,0,0
Etowah,AL,01055,2023-05-28,2023-06-03,2,0
Coffee,AL,01031,2023-05-28,2023-06-03,0,0
Jefferson,AL,01073,2023-05-28,2023-06-03,18,3
Lawrence,AL,01079,2023-05-28,2023-06-03,0,0
Limestone,AL,01083,2023-05-28,2023-06-03,0,0
Morgan,AL,01103,2023-05-28,2023-06-03,1,0
Talladega,AL,01121,2023-05-28,2023-06-03,0,0
Mobile,AL,01097,2023-05-28,2023-06-03,11,2
Conecuh,AL,01035,2023-05-28,2023-06-03,2,0
Franklin,AL,01059,2023-05-28,2023-06-03,0,0
Houston,AL,01069,2023-05-28,2023-06-03,8,0
Fairbanks North Star,AK,02090,2023-05-28,2023-06-03,5,0
Anchorage,AK,02020,2023-05-28,2023-06-03,8,0
Kodiak Island,AK,02150,2023-05-28,2023-06-03,0,0
Dillingham,AK,02070,2023-05-28,2023-06-03,0,0
Sitka,AK,02220,2023-05-28,2023-06-03,0,0
Yavapai,AZ,04025,2023-05-28,2023-06-03,8,0
Yuma,AZ,04027,2023-05-28,2023-06-03,3,0
Pinal,AZ,04021,2023-05-28,2023-06-03,3,0
Maricopa,AZ,04013,2023-05-28,2023-06-03,112,8
Mohave,AZ,04015,2023-05-28,2023-06-03,6,0
Pima,AZ,04019,2023-05-28,2023-06-03,17,0
Navajo,AZ,04017,2023-05-28,2023-06-03,10,0
Santa Cruz,AZ,04023,2023-05-28,2023-06-03,0,0
Pulaski,AR,05119,2023-05-28,2023-06-03,21,6
Polk,AR,05113,2023-05-28,2023-06-03,0,0
St. Francis,AR,05123,2023-05-28,2023-06-03,0,0
Ouachita,AR,05103,2023-05-28,2023-06-03,2,0
Garland,AR,05051,2023-05-28,2023-06-03,4,0
Faulkner,AR,05045,2023-05-28,2023-06-03,3,0
Crittenden,AR,05035,2023-05-28,2023-06-03,0,0
Carroll,AR,05015,2023-05-28,2023-06-03,0,0
Logan,AR,05083,2023-05-28,2023-06-03,0,0
Conway,AR,05029,2023-05-28,2023-06-03,0,0
Sebastian,AR,05131,2023-05-28,2023-06-03,7,1
White,AR,05145,2023-05-28,2023-06-03,4,0
Napa,CA,06055,2023-05-28,2023-06-03,4,1
Sacramento,CA,06067,2023-05-28,2023-06-03,77,10
Riverside,CA,06065,2023-05-28,2023-06-03,30,0
San Diego,CA,06073,2023-05-28,2023-06-03,54,2
Kern,CA,06029,2023-05-28,2023-06-03,9,2
Santa Clara,CA,06085,2023-05-28,2023-06-03,71,0
Los Angeles,CA,06037,2023-05-28,2023-06-03,263,3
Ventura,CA,06111,2023-05-28,2023-06-03,29,0
Fresno,CA,06019,2023-05-28,2023-06-03,49,3
San Joaquin,CA,06077,2023-05-28,2023-06-03,20,0
San Bernardino,CA,06071,2023-05-28,2023-06-03,36,3
Orange,CA,06059,2023-05-28,2023-06-03,65,4
Monterey,CA,06053,2023-05-28,2023-06-03,2,0
Alameda,CA,06001,2023-05-28,2023-06-03,80,2
Marin,CA,06041,2023-05-28,2023-06-03,16,0
San Francisco,CA,06075,2023-05-28,2023-06-03,48,0
Merced,CA,06047,2023-05-28,2023-06-03,3,0
San Luis Obispo,CA,06079,2023-05-28,2023-06-03,4,2
Sutter,CA,06101,2023-05-28,2023-06-03,0,0
Plumas,CA,06063,2023-05-28,2023-06-03,0,0
Sonoma,CA,06097,2023-05-28,2023-06-03,18,0
Inyo,CA,06027,2023-05-28,2023-06-03,1,0
Weld,CO,08123,2023-05-28,2023-06-03,2,0
Alamosa,CO,08003,2023-05-28,2023-06-03,6,0
Jefferson,CO,08059,2023-05-28,2023-06-03,2,0
El Paso,CO,08041,2023-05-28,2023-06-03,4,0
Denver,CO,08031,2023-05-28,2023-06-03,16,2
Mesa,CO,08077,2023-05-28,2023-06-03,5,0
Phillips,CO,08095,2023-05-28,2023-06-03,0,0
Conejos,CO,08021,2023-05-28,2023-06-03,0,0
Moffat,CO,08081,2023-05-28,2023-06-03,0,0
Chaffee,CO,08015,2023-05-28,2023-06-03,0,0
Prowers,CO,08099,2023-05-28,2023-06-03,0,0
Pitkin,CO,08097,2023-05-28,2023-06-03,0,0
Adams,CO,08001,2023-05-28,2023-06-03,10,4
