United States COVID-19 Hospitalizations by County
Date generated: Mon May 22 2023 19:17:51 GMT-0400 (Eastern Daylight Time)
County,State,New hospital admissions of confirmed COVID-19 past week (total),New COVID-19 hospital admissions per 100000 population past week (total),COVID-19 hospital admissions level,% Change in new hospital admissions of confirmed COVID-19 from the prior week,% Staffed inpatient beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed inpatient beds occupied by patients with confirmed COVID-19 from prior week,% Staffed ICU beds occupied by patients with confirmed COVID-19 past week (average),Absolute change % staffed ICU beds occupied by patients with confirmed COVID-19 from prior week
Aleutians East Borough,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Aleutians West Census Area,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Anchorage Municipality,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Bethel Census Area,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Bristol Bay Borough,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Denali Borough,AK,3,2.7,Low (<10.0),200,0.8,0.5,0.5,0.5
Dillingham Census Area,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Fairbanks North Star Borough,AK,3,2.7,Low (<10.0),200,0.8,0.5,0.5,0.5
Haines Borough,AK,2,4.3,Low (<10.0),-33.3,1.9,1.1,0,0
Hoonah-Angoon Census Area,AK,2,4.3,Low (<10.0),-33.3,1.9,1.1,0,0
Juneau City and Borough,AK,2,4.3,Low (<10.0),-33.3,1.9,1.1,0,0
Kenai Peninsula Borough,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Ketchikan Gateway Borough,AK,0,0,Low (<10.0),-100,7.8,6,31.5,29.5
Kodiak Island Borough,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Kusilvak Census Area,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Lake and Peninsula Borough,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Matanuska-Susitna Borough,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Nome Census Area,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
North Slope Borough,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Northwest Arctic Borough,AK,21,3.8,Low (<10.0),-4.5,1.6,0.2,1.7,0.1
Petersburg Borough,AK,0,0,Low (<10.0),-100,7.8,6,31.5,29.5
Prince of Wales-Hyder Census Area,AK,0,0,Low (<10.0),-100,7.8,6,31.5,29.5
Sitka City and Borough,AK,2,4.3,Low (<10.0),-33.3,1.9,1.1,0,0
Skagway Municipality,AK,2,4.3,Low (<10.0),-33.3,1.9,1.1,0,0
Southeast Fairbanks Census Area,AK,3,2.7,Low (<10.0),200,0.8,0.5,0.5,0.5
